Subtype	Cluster	Cell	Score	Celltype
MP	MP_ST_P7_Cluster6	Myeloid Dendritic Type 2	4.9375197064742e-05	Immune
MP	MP_ST_P7_Cluster6	Platelet/Megakaryocyte	0.000400590536501076	Immune
MP	MP_ST_P7_Cluster6	B	0.000472158864384843	Immune
MP	MP_ST_P7_Cluster6	IGSF21+ Dendritic	0.000686533563371305	Immune
MP	MP_ST_P7_Cluster6	EREG+ Dendritic	0	Immune
MP	MP_ST_P7_Cluster6	Plasmacytoid Dendritic	2.21363971989658e-05	Immune
MP	MP_ST_P7_Cluster6	Myeloid Dendritic Type 1	0	Immune
MP	MP_ST_P7_Cluster6	TREM2+ Dendritic	0	Immune
MP	MP_ST_P7_Cluster6	Differentiating Basal	4.25261346137925e-05	Epithelial
MP	MP_ST_P7_Cluster6	Proliferating Basal	0.00871215692075606	Epithelial
MP	MP_ST_P7_Cluster6	Basal	0.000331207514739136	Epithelial
MP	MP_ST_P7_Cluster6	Plasma	7.61972888795135e-05	Immune
MP	MP_ST_P7_Cluster6	Macrophage	0.0244342325485847	Immune
MP	MP_ST_P7_Cluster6	Basophil/Mast 1	0.00414534735699463	Immune
MP	MP_ST_P7_Cluster6	Proliferating Macrophage	0.00114380754151274	Immune
MP	MP_ST_P7_Cluster6	Capillary Aerocyte	0.0137047257958883	Endothelial
MP	MP_ST_P7_Cluster6	Capillary	0.00858821092129992	Endothelial
MP	MP_ST_P7_Cluster6	Bronchial Vessel 2	2.04176995384986e-05	Endothelial
MP	MP_ST_P7_Cluster6	Vein	0.0196103797696695	Endothelial
MP	MP_ST_P7_Cluster6	Artery	0.000181206328835768	Endothelial
MP	MP_ST_P7_Cluster6	Lymphatic	0.0095226090733121	Endothelial
MP	MP_ST_P7_Cluster6	Bronchial Vessel 1	0.00117761397594999	Endothelial
MP	MP_ST_P7_Cluster6	Airway Smooth Muscle	1.58862501233557e-05	Stroma
MP	MP_ST_P7_Cluster6	Alveolar Epithelial Type 2	0.644560906694749	Epithelial
MP	MP_ST_P7_Cluster6	Club	0.0162016652684041	Epithelial
MP	MP_ST_P7_Cluster6	Pericyte	0.0501551637830263	Stroma
MP	MP_ST_P7_Cluster6	Myofibroblast	0.000644672362450254	Stroma
MP	MP_ST_P7_Cluster6	Alveolar Epithelial Type 1	0.00166660221433887	Epithelial
MP	MP_ST_P7_Cluster6	Ciliated	0.0037806932828491	Epithelial
MP	MP_ST_P7_Cluster6	Adventitial Fibroblast	0	Stroma
MP	MP_ST_P7_Cluster6	Alveolar Fibroblast	0.000860495144987996	Stroma
MP	MP_ST_P7_Cluster6	Lipofibroblast	0	Stroma
MP	MP_ST_P7_Cluster6	Mesothelial	8.18891134135615e-06	Stroma
MP	MP_ST_P7_Cluster6	Capillary Intermediate 1	0.000613233639567066	Endothelial
MP	MP_ST_P7_Cluster6	Capillary Intermediate 2	0.00171087289923064	Endothelial
MP	MP_ST_P7_Cluster6	Vascular Smooth Muscle	0.000243288565937151	Stroma
MP	MP_ST_P7_Cluster6	Mucous	0.0157377240800349	Epithelial
MP	MP_ST_P7_Cluster6	Proliferating NK/T	0.00226824985613292	Immune
MP	MP_ST_P7_Cluster6	Natural Killer T	0.000158480326259303	Immune
MP	MP_ST_P7_Cluster6	OLR1+ Classical Monocyte	0	Immune
MP	MP_ST_P7_Cluster6	Intermediate Monocyte	0	Immune
MP	MP_ST_P7_Cluster6	Basophil/Mast 2	0.00112512945154106	Immune
MP	MP_ST_P7_Cluster6	Signaling Alveolar Epithelial Type 2	0.148067129103345	Epithelial
MP	MP_ST_P7_Cluster6	Proximal Basal	0	Epithelial
MP	MP_ST_P7_Cluster6	Neuroendocrine	0	Epithelial
MP	MP_ST_P7_Cluster6	Fibromyocyte	1.06548135063591e-05	Stroma
MP	MP_ST_P7_Cluster6	Ionocyte	0	Epithelial
MP	MP_ST_P7_Cluster6	Serous	0	Epithelial
MP	MP_ST_P7_Cluster6	Proximal Ciliated	0	Epithelial
MP	MP_ST_P7_Cluster6	Goblet	0	Epithelial
MP	MP_ST_P7_Cluster6	Neutrophil	0	Immune
MP	MP_ST_P7_Cluster6	Dendritic	0	Immune
N	N_ST_P1_Cluster8	CD4+ Memory/Effector T	0.010346224859094	Immune
N	N_ST_P1_Cluster8	CD4+ Naive T	0.00147782237180081	Immune
N	N_ST_P1_Cluster8	CD8+ Memory/Effector T	0.00699619435748967	Immune
