CellName	Cluster	Score	Sample
Endothelial_Capillary Aerocyte	MP_PA_Demo_Cluster0	0.031344243	Demo
Endothelial_Capillary Aerocyte	PA_Demo_Cluster1	0.01902995	Demo
Endothelial_Capillary Aerocyte	MP_Demo_Cluster2	0.013749154	Demo
Endothelial_Capillary Aerocyte	S_Demo_Cluster3	0.028661885	Demo
Endothelial_Capillary Aerocyte	S_Demo_Cluster4	0.066111404	Demo
Endothelial_Capillary Aerocyte	S_Demo_Cluster5	0.020774845	Demo
Endothelial_Capillary Aerocyte	S_Demo_Cluster6	0.024941964	Demo
Endothelial_Capillary Aerocyte	S_Demo_Cluster7	0.017957461	Demo
Endothelial_Capillary Aerocyte	PA_Demo_Cluster8	0.005923343	Demo
Endothelial_Capillary Aerocyte	MP_Demo_Cluster9	0.011062986	Demo
Endothelial_Capillary Intermediate 1	MP_PA_Demo_Cluster0	0.012342492	Demo
Endothelial_Capillary Intermediate 1	PA_Demo_Cluster1	0.001535504	Demo
Endothelial_Capillary Intermediate 1	MP_Demo_Cluster2	5.86E-05	Demo
Endothelial_Capillary Intermediate 1	S_Demo_Cluster3	0.001696614	Demo
Endothelial_Capillary Intermediate 1	S_Demo_Cluster4	0.03299105	Demo
Endothelial_Capillary Intermediate 1	S_Demo_Cluster5	0	Demo
Endothelial_Capillary Intermediate 1	S_Demo_Cluster6	0.002623144	Demo
Endothelial_Capillary Intermediate 1	S_Demo_Cluster7	0.00258401	Demo
Endothelial_Capillary Intermediate 1	PA_Demo_Cluster8	0.015724131	Demo
Endothelial_Capillary Intermediate 1	MP_Demo_Cluster9	0.025487957	Demo
Endothelial_Capillary Intermediate 2	MP_PA_Demo_Cluster0	0.006654515	Demo
Endothelial_Capillary Intermediate 2	PA_Demo_Cluster1	0.00407844	Demo
Endothelial_Capillary Intermediate 2	MP_Demo_Cluster2	0.000780743	Demo
Endothelial_Capillary Intermediate 2	S_Demo_Cluster3	0.027298192	Demo
Endothelial_Capillary Intermediate 2	S_Demo_Cluster4	0.009016267	Demo
Endothelial_Capillary Intermediate 2	S_Demo_Cluster5	0.003769133	Demo
Endothelial_Capillary Intermediate 2	S_Demo_Cluster6	0.01167793	Demo
Endothelial_Capillary Intermediate 2	S_Demo_Cluster7	0.001570461	Demo
Endothelial_Capillary Intermediate 2	PA_Demo_Cluster8	0.001098048	Demo
Endothelial_Capillary Intermediate 2	MP_Demo_Cluster9	0.003192762	Demo
Immune_CD4+ Memory/Effector T	MP_PA_Demo_Cluster0	0.073125212	Demo
Immune_CD4+ Memory/Effector T	PA_Demo_Cluster1	0.001992859	Demo
Immune_CD4+ Memory/Effector T	MP_Demo_Cluster2	0.05332683	Demo
Immune_CD4+ Memory/Effector T	S_Demo_Cluster3	0.233000062	Demo
Immune_CD4+ Memory/Effector T	S_Demo_Cluster4	0.017680938	Demo
Immune_CD4+ Memory/Effector T	S_Demo_Cluster5	0.013940494	Demo
Immune_CD4+ Memory/Effector T	S_Demo_Cluster6	0.028464137	Demo
Immune_CD4+ Memory/Effector T	S_Demo_Cluster7	0.005552284	Demo
Immune_CD4+ Memory/Effector T	PA_Demo_Cluster8	0.003738714	Demo
Immune_CD4+ Memory/Effector T	MP_Demo_Cluster9	0.044143832	Demo
Immune_CD4+ Naive T	MP_PA_Demo_Cluster0	0.033611655	Demo
Immune_CD4+ Naive T	PA_Demo_Cluster1	0.00027394	Demo
Immune_CD4+ Naive T	MP_Demo_Cluster2	0.020747223	Demo
Immune_CD4+ Naive T	S_Demo_Cluster3	0.086663481	Demo
Immune_CD4+ Naive T	S_Demo_Cluster4	0.012652213	Demo
Immune_CD4+ Naive T	S_Demo_Cluster5	0.002314182	Demo
Immune_CD4+ Naive T	S_Demo_Cluster6	0.01301122	Demo
Immune_CD4+ Naive T	S_Demo_Cluster7	0.003015078	Demo
Immune_CD4+ Naive T	PA_Demo_Cluster8	4.55E-06	Demo
Immune_CD4+ Naive T	MP_Demo_Cluster9	0.013203942	Demo
Immune_CD8+ Memory/Effector T	MP_PA_Demo_Cluster0	0.017006117	Demo
Immune_CD8+ Memory/Effector T	PA_Demo_Cluster1	6.97E-05	Demo
Immune_CD8+ Memory/Effector T	MP_Demo_Cluster2	0.005085793	Demo
Immune_CD8+ Memory/Effector T	S_Demo_Cluster3	0.055183265	Demo
Immune_CD8+ Memory/Effector T	S_Demo_Cluster4	0.002153505	Demo
Immune_CD8+ Memory/Effector T	S_Demo_Cluster5	0.002319538	Demo
Immune_CD8+ Memory/Effector T	S_Demo_Cluster6	0.018597764	Demo
Immune_CD8+ Memory/Effector T	S_Demo_Cluster7	0.000363967	Demo
Immune_CD8+ Memory/Effector T	PA_Demo_Cluster8	0	Demo
Immune_CD8+ Memory/Effector T	MP_Demo_Cluster9	0.063978025	Demo
